variable_name,period_label,gap_count,reasons
Where_People_Listen,Q1_2025,131,missing_observation_in_expected_window
Where_People_Listen,Q2_2024,131,missing_observation_in_expected_window
Where_People_Listen,Q2_2025,131,missing_observation_in_expected_window
Where_People_Listen,Q3_2024,131,missing_observation_in_expected_window
Where_People_Listen,Q3_2025,131,missing_observation_in_expected_window
Where_People_Listen,Q4_2024,131,missing_observation_in_expected_window
Where_People_Listen,Q4_2025,130,missing_observation_in_expected_window
Wikipedia_views_daily,Q1_2024,58,missing_observation_in_expected_window
Wikipedia_views_daily,Q1_2025,61,missing_observation_in_expected_window
Wikipedia_views_daily,Q2_2024,78,missing_observation_in_expected_window
Wikipedia_views_daily,Q2_2025,56,missing_observation_in_expected_window
Wikipedia_views_daily,Q3_2024,72,missing_observation_in_expected_window
Wikipedia_views_daily,Q3_2025,83,missing_observation_in_expected_window
Wikipedia_views_daily,Q4_2024,89,missing_observation_in_expected_window
Wikipedia_views_daily,Q4_2025,72,missing_observation_in_expected_window
YouTube_subscribers_daily,Q1_2024,243,missing_observation_in_expected_window
YouTube_subscribers_daily,Q1_2025,15,missing_observation_in_expected_window
YouTube_subscribers_daily,Q2_2024,28,missing_observation_in_expected_window
YouTube_subscribers_daily,Q2_2025,15,missing_observation_in_expected_window
YouTube_subscribers_daily,Q3_2024,18,missing_observation_in_expected_window
YouTube_subscribers_daily,Q3_2025,23,missing_observation_in_expected_window
YouTube_subscribers_daily,Q4_2024,16,missing_observation_in_expected_window
YouTube_subscribers_daily,Q4_2025,19,missing_observation_in_expected_window
