entity_name,variable_name,obs_count,first_date,last_date,min_val,max_val,avg_val
Cruel Santino,Soundcloud_followers_daily,627,1/1/2024,12/31/2025,17364,18358,17811.77192982456
Cruel Santino,Spotify_followers_daily,727,1/1/2024,12/31/2025,90689,114280,102729.89133425035
Cruel Santino,Spotify_monthly_listeners_daily,635,1/1/2024,9/30/2025,516859,764462,630860.0614173228
Cruel Santino,TikTok_followers_daily,453,10/5/2024,12/31/2025,12900,17900,16147.618101545253
Cruel Santino,TikTok_likes_daily,453,10/5/2024,12/31/2025,144900,298857,246331.47682119205
Cruel Santino,Twitter_followers_daily,520,3/12/2024,12/31/2025,117946,130702,124705.37884615385
Cruel Santino,Wikipedia_views_daily,719,1/1/2024,12/31/2025,18,664,48.381084840055635
Cruel Santino,YouTube_subscribers_daily,724,1/1/2024,12/31/2025,5371,5520,5438.530386740332
DJ Cuppy,Spotify_followers_daily,338,10/9/2024,9/11/2025,3,7,5.982248520710059
DJ Cuppy,Spotify_monthly_listeners_daily,338,10/9/2024,9/11/2025,1,418,106.90236686390533
DJ Neptune,Instagram_followers_daily,666,1/1/2024,12/31/2025,437747,479666,454942.3903903904
DJ Neptune,Soundcloud_followers_daily,171,1/1/2024,12/31/2025,5586,7421,6050.06432748538
DJ Neptune,Spotify_followers_daily,727,1/1/2024,12/31/2025,478803,919220,665864.7551581843
DJ Neptune,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,560644,1185329,797304.8005502063
DJ Neptune,Wikipedia_views_daily,722,1/1/2024,12/31/2025,7,245,25.695290858725762
DJ Neptune,YouTube_subscribers_daily,727,1/1/2024,12/31/2025,214000,274333,245409.23796423658
DJ Spinall,Instagram_followers_daily,667,1/1/2024,12/31/2025,2225082,2462915,2346901.40029985
DJ Spinall,Spotify_followers_daily,636,1/1/2024,12/31/2025,115,177,140.3506289308176
DJ Spinall,Spotify_monthly_listeners_daily,727,1/1/2024,12/31/2025,1,63,12.173314993122421
DJ Spinall,TikTok_followers_daily,454,10/4/2024,12/31/2025,304200,309600,306800.4625550661
DJ Spinall,TikTok_likes_daily,449,10/4/2024,12/31/2025,1200000,1300000,1263854.4877505568
