artist_name,nmas_artist_id,provider_country,classification,evidence,needs_nbs_adjudication,quarters_present,gross_streaming_revenue_usd_total
Oshara,oshara,,unknown,provider holds no country for this artist,Y,20,370.45
Osinachi Nwachukwu,osinachi-nwachukwu,NG,domestic,provider registers the artist in Nigeria,N,26,7482.5
Ossy Brown,ossy-brown,GB,diaspora_candidate,provider registers the artist in GB,Y,28,5666.58
Oxlade,oxlade,NG,domestic,provider registers the artist in Nigeria,N,31,6770781.1
P-Square,p-square,NG,domestic,provider registers the artist in Nigeria,N,31,3335701.55
P.Priime,p.priime,NG,domestic,provider registers the artist in Nigeria,N,25,78798.49
P2J,p2j,GB,diaspora_candidate,provider registers the artist in GB,Y,26,108685.44
Pasuma,pasuma,NG,domestic,provider registers the artist in Nigeria,N,31,59399.74
Patoranking,patoranking,NG,domestic,provider registers the artist in Nigeria,N,30,3688373.91
Patrice Wilson,patrice-wilson,US,diaspora_candidate,provider registers the artist in US,Y,30,231.44
Paul Play Dairo,paul-play-dairo,,unknown,provider holds no country for this artist,Y,31,26568.21
Pawzz,pawzz,NG,domestic,provider registers the artist in Nigeria,N,15,3637.44
Paybac Iboro,paybac-iboro,NG,domestic,provider registers the artist in Nigeria,N,29,2180.09
Payper Corleone,payper-corleone,NG,domestic,provider registers the artist in Nigeria,N,31,172906.05
Peacocks Guitar Band International,peacocks-guitar-band-international,,unknown,provider holds no country for this artist,Y,31,7426.89
Pepenazi,pepenazi,NG,domestic,provider registers the artist in Nigeria,N,31,20005.71
Peruzzi,peruzzi,NG,domestic,provider registers the artist in Nigeria,N,31,582496.66
Peter King,peter-king,GB,diaspora_candidate,provider registers the artist in GB,Y,31,38967.55
Peterson Okopi,peterson-okopi,NG,domestic,provider registers the artist in Nigeria,N,25,155075.29
Phantom,phantom,US,diaspora_candidate,provider registers the artist in US,Y,30,272329.63
Pheelz,pheelz,NG,domestic,provider registers the artist in Nigeria,N,30,3837325.13
