dataset,field,tier,rows,depends_on_constants,providers,note
Daily_Metric_Observations + Extended,Twitter_followers_daily,1 OBSERVED,579615,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,Wikipedia_views_daily,1 OBSERVED,59565,,chartmetric,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_artist_daily_views,1 OBSERVED,11512,,chartmetric,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_artist_monthly_views,1 OBSERVED,10095,,chartmetric,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_channel_views_daily,1 OBSERVED,484618,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_domestic_followers_daily,1 OBSERVED,6950,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_domestic_listeners_daily,1 OBSERVED,183736,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_listeners_daily,1 OBSERVED,204659,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_subscribers_daily,1 OBSERVED,600885,,chartmetric+soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_total_followers_daily,1 OBSERVED,7437,,soundcharts,provider returned this figure for this artist on this date
Daily_Metric_Observations + Extended,YouTube_total_listeners_daily,1 OBSERVED,200575,,soundcharts,provider returned this figure for this artist on this date
Geography_Full_Daily,value,1 OBSERVED,36204423,,soundcharts,"listener/follower counts per country and city, as returned"
Revenue_By_Platform_Quarterly,deezer_fans,1 OBSERVED,19141,,soundcharts+chartmetric,measured input carried through to the revenue table
Revenue_By_Platform_Quarterly,spotify_monthly_listeners,1 OBSERVED,19141,,soundcharts+chartmetric,measured input carried through to the revenue table
Revenue_By_Platform_Quarterly,youtube_quarter_views,1 OBSERVED,19141,,soundcharts+chartmetric,measured input carried through to the revenue table
Artist_Catalogue_Summary,value/count,2 AGGREGATED,752,,soundcharts,rollup of measured values; no constant involved
Export_Markets_Quarterly,value/count,2 AGGREGATED,15374,,soundcharts,rollup of measured values; no constant involved
