artist_name,soundcharts_uuid,country,career_stage,growth_level,genres,songs,albums,chart_entries,playlist_entries,events,radio_stations_monitored,platform_identifiers
Marvy,80534b9b-3e74-4ca4-a9e8-085e4b89921c,AL,long_tail,average_growth,,62,24,0,209,0,1,10
Rema,83f78e52-2a25-11e9-9063-00163ec5a2fb,NG,superstar,average_growth,electro; kids; pop; traditional,400,209,276,894,167,3572,62
Kunmie,8650eed1-f56c-4029-9ee0-7213c48a2a30,NG,mid_level,average_growth,electro; pop; r&b; religious; soul,40,17,90,420,0,83,20
Testimony Jaga,86f196d2-ab23-11e9-8997-549f35161576,NG,mid_level,average_growth,religious,103,79,0,211,0,54,25
Shallipopi,87954391-78cf-4f78-ab80-a4a988c2ff44,NG,mainstream,average_growth,edm; electro; pop; religious; traditional,292,77,16,512,42,700,45
ODUMODUBLVCK,87c9bd86-7bdb-11e9-b465-549f35161576,NG,mainstream,average_growth,electro; funk; hip hop; pop; religious; traditional,400,225,153,631,56,704,45
GMK,887f2962-c378-11e8-8148-525400009efb,NG,long_tail,average_growth,alternative; hip hop; traditional,24,21,0,400,0,28,18
Abbey Ojomu,89b351bd-fdfd-4ae7-a50c-e6ce65458903,NG,mid_level,average_growth,religious,112,17,20,186,0,19,20
Qdot,8a7b3ade-b8cf-11e8-bd66-525400009efb,NG,mainstream,average_growth,electro; pop; religious; traditional,265,79,2,400,0,242,33
Libianca,8ac4922c-c67c-11e9-8c7b-e4434b16cb7a,CM,mainstream,decline,electro; r&b,120,60,46,643,46,1743,44
Deobi,8bc17b08-26c2-4444-b2cb-1193e37504bc,NG,long_tail,average_growth,,24,11,11,246,0,12,11
KayArchonn,8d21b387-5d48-4c59-a3f5-780dfd1f7a75,US,long_tail,average_growth,hip hop,26,22,18,200,0,15,18
Shaybo,8d32f11c-cb17-11e9-96df-549f35161576,GB,long_tail,average_growth,hip hop,58,34,0,414,6,588,32
Josiah Ransome-Kuti,8d455b02-c5f7-11e8-bd3d-549f35141000,NG,long_tail,average_growth,folk,13,0,0,27,0,11,8
Sani Ahmad,8df173d0-83c3-4974-8b2f-4a9f9bfa0844,NG,long_tail,average_growth,electro; pop,48,24,0,7,0,8,16
Sadiq Zazzabi,8e40738d-b8f5-4239-9b2c-4067e4f53a06,NG,long_tail,average_growth,classical; r&b,18,13,0,0,0,4,15
Muri Thunder,8f5dbb15-a135-4846-bdd9-3ca34eacf239,NG,long_tail,average_growth,,16,1,0,1,0,0,5
Boyskido,8ffc2ff6-ea55-4573-8bbc-5f78e02176b1,NG,long_tail,moderate_growth,electro; hip hop; latin,51,28,4,260,0,2,19
Laycon,902044d0-8e3d-44c9-9851-5c91aec4e9f7,NG,mid_level,average_growth,electro; pop,87,28,1,403,0,144,27
Adam A. Zango,90916b1e-c662-11e8-b387-549f35161576,NG,long_tail,average_growth,pop,400,89,10,165,0,44,17
Ecool,91843f04-5475-11ea-a5f1-549f35161576,NG,long_tail,average_growth,electro; hip hop; pop,26,20,0,404,9,171,28
Idahams,91a05a4c-b8f2-11e8-a4b5-525400009efb,NG,long_tail,average_growth,electro; hip hop; pop; religious; traditional,90,50,0,403,0,246,28
Yarden,91a5c9f3-ef2e-4561-a071-07f5e40b79b6,NG,long_tail,average_growth,alternative; electro; pop; punk; r&b; soul,47,30,0,400,2,144,27
Ceeboi,91e2488a-e47f-4109-ab20-133c5a35ee4d,,long_tail,average_growth,,1,0,0,0,0,0,1
Dekumzy,920b3e46-405d-11e9-b5c4-549f35161576,NG,long_tail,average_growth,country; electro; pop; soul; traditional,172,11,0,9,0,8,18
AcebergTM,9379aef0-c1dd-4ede-bde7-68087429c96a,NG,long_tail,average_growth,alternative; electro,16,9,0,400,0,100,28
Bola Are,93b80d58-136f-49b9-aa10-7daf829e24b7,,long_tail,average_growth,religious,7,0,0,2,0,5,11
FOLA,93efb08e-c655-11e8-9244-549f35141000,NG,mid_level,average_growth,electro; hip hop; pop; r&b; religious; soul; traditional,133,50,150,648,0,281,26
Yuppe,94419fc7-5595-4c87-a256-0c2a82a05ebf,ZA,long_tail,average_growth,electro,145,45,30,434,0,567,24
Rumerh,95152925-89c2-4ef5-a2f9-bb88ffcf55c5,NG,long_tail,average_growth,electro,28,17,0,10,0,3,14
Bella Shmurda,95344eec-423c-11e9-8db6-549f35141000,NG,superstar,average_growth,electro; pop; traditional,400,141,129,451,0,713,47
The Second Voice,9892a56a-cf36-4f75-8458-8ed5804cf8a1,NG,long_tail,high_growth,,36,10,328,579,0,349,19
Tolü Makay,99ee01ae-ce69-11e8-9e67-549f35161576,IE,long_tail,average_growth,pop; r&b,48,23,0,401,25,190,29
Elestee,9a43c3b8-4c37-11e9-91cd-e4434b2a489b,KR,long_tail,average_growth,alternative; electro; r&b; soul,27,28,1,403,0,92,26
Ajofé,9ac61742-b1f3-43e4-9d50-32b517b74c12,NG,long_tail,average_growth,electro; traditional,51,38,1,187,0,29,17
Hyce,9c4814d0-8f78-465a-9422-ef8c5ce3f764,NG,mid_level,average_growth,electro; pop; r&b; soul; traditional,64,33,0,403,0,130,24
SSSoundGawd,9ca898ee-a35b-4d5d-9067-b75c2cf57d4b,NG,long_tail,high_growth,electro,10,4,32,427,0,60,13
P.Priime,9cd89370-7ebd-4035-b4ee-9ad0e778ab4d,NG,long_tail,average_growth,electro,11,7,0,400,0,35,24
ELMAH,9d0c1f6e-e171-4296-babc-3c5a8d1f2e01,NG,long_tail,average_growth,electro; r&b; soul,19,11,4,417,0,44,26
Evi Edna Ogholi,9d1de316-1267-11e9-a58b-549f35141000,NG,long_tail,average_growth,pop; traditional,109,13,0,400,2,111,26
Monicazation,9dd50f1e-54a2-11e9-b63d-549f35161576,US,long_tail,average_growth,traditional,13,9,0,0,0,3,12
Lawrence Oyor,9edbe9a8-4060-4624-99f9-1bbf7b5d92f9,NG,mid_level,average_growth,religious,76,54,134,402,0,125,22
Feezy,9efd85ce-a1a7-436b-aa04-bc92536d7dbf,NG,long_tail,average_growth,pop,92,72,0,171,0,1,13
Victor Thompson,a01bc264-18ea-4620-b2d3-544155fe090b,NG,mid_level,decline,electro; religious,82,70,59,474,15,488,34
Suté Iwar,a0444748-4c27-11e9-a29f-e4434b16cb7a,NG,long_tail,average_growth,alternative; hip hop; pop; r&b; soul; traditional,135,55,1,400,9,125,29
Musta4a,a0d43d16-4cc7-11ea-86ed-549f35141000,NG,long_tail,average_growth,r&b; traditional,68,31,0,400,0,7,28
Spinall,a1268430-d49e-4892-af83-9e9bbe8ab976,NG,mid_level,average_growth,alternative; electro; hip hop; pop; r&b; ska,380,99,5,562,52,1177,47
Theresa Onuorah,a15eba76-ea6d-43fb-9453-b7de0825d7ed,,long_tail,explosive_growth,electro; traditional,36,17,0,401,0,79,13
Orlando Owoh,a22ef1a6-3dd6-11ea-bddb-549f35141000,NG,long_tail,average_growth,traditional,2,5,0,0,0,0,6
Oga Abdul,a26d2ef0-7fe7-4e33-b5b7-43d7a204944d,NG,long_tail,average_growth,,32,28,2,5,0,0,16
Monaky,a3642ee7-22fc-4b9c-950e-fcf2b0c817ff,NG,mid_level,average_growth,electro; hip hop; pop; religious; soul; traditional,50,22,0,412,0,49,34
Snazzy the Optimist,a38f4c05-fe8b-4100-8105-b1608e430cf2,NG,long_tail,average_growth,electro; pop; traditional,9,10,0,9,0,1,15
Chella,a48434b9-63db-4980-a05d-56404f0fb2af,BR,long_tail,average_growth,latin; pop,23,20,0,15,11,1,16
Andre Blaze,a4f68ec1-78bd-4840-85c3-f64d67fe02cd,,long_tail,average_growth,,1,0,0,0,0,0,3
Echezonachukwu Nduka,a60ff66e-a573-4ea7-8845-d002ce54fec2,NG,long_tail,average_growth,classical,37,7,0,1,0,4,16
Shoday,a62598bc-a7f7-4f60-91c9-40492c99d02d,NG,long_tail,average_growth,edm; electro; pop; religious; traditional,163,96,74,488,5,238,31
Salawa Abeni,a6da7dac-b512-48f4-82b3-240855f69efb,,long_tail,,,1,0,0,0,0,0,3
Adé Bantu,a6e0fd80-0ce7-46b7-8e95-f9124574205f,NG,long_tail,average_growth,traditional,3,0,0,2,0,0,9
Emmanuel Iren,a7c41324-690f-4aec-8d18-70dc69209cac,NG,long_tail,average_growth,religious,50,23,4,200,0,90,24
Superstar YB,a858e2e6-b545-4daf-8bc4-9aec145f30c2,NG,long_tail,explosive_growth,alternative; electro; traditional,59,47,0,224,0,3,25
Emmkoo,a8ddbfba-757f-41de-840b-eba141d5a810,NG,long_tail,average_growth,electro; folk,10,12,0,2,0,0,15
Sule Alao Malaika,a9a27fab-d0af-4ef0-9ff0-737a139dae6b,,long_tail,,,1,0,0,0,0,0,1
Asuquomo,aa05675c-a876-11e9-b119-e4434b16cb7a,NG,long_tail,average_growth,hip hop,43,21,0,188,2,34,30
Tolu Obanro,aa4a820a-5adb-420d-a1a1-c1f0ce05f14c,NG,long_tail,average_growth,electro; soundtrack,206,20,0,5,0,0,13
Paybac Iboro,abaf759c-d5e5-11e9-9903-549f35161576,NG,long_tail,average_growth,alternative; hip hop,206,36,0,236,0,5,24
Nazir Sarkin Waka,abe6fd02-b05e-4444-ac5a-40760bc13fb4,NG,long_tail,average_growth,blues,55,10,119,9,0,4,16
Blaisebeatz,ac250a20-b38b-4143-ae82-4dab48e12c80,,long_tail,average_growth,,1,0,0,0,0,0,1
King Steve Benjamin,ac363ed0-dbe3-4386-867e-c3fc804464b2,NG,long_tail,average_growth,electro; traditional,43,29,0,7,0,1,20
IllRymz,ac490e9c-c960-11e8-bf2f-525400009efb,NG,long_tail,average_growth,hip hop; traditional,17,1,0,4,0,0,11
Tonye Garrick,ad053538-87bd-11e9-8506-e4434b2a4898,NG,long_tail,average_growth,pop,18,8,0,12,0,8,25
Wavy the Creator,add65846-c18b-11e8-b258-525400009efb,NG,long_tail,average_growth,alternative; hip hop; pop; r&b; soul; traditional,47,16,1,404,0,123,27
Mr Dutch,ae14e4cc-b8cf-11e8-83e3-525400009efb,ZA,long_tail,average_growth,alternative; electro; traditional,74,47,0,401,1,121,30
Oladapo,ae1f63a6-3b34-11e9-8d85-549f35141000,NG,long_tail,average_growth,alternative; electro; hip hop; pop; r&b; soul; traditional,73,33,2,417,0,128,27
Rude Boy,ae344c3a-95a2-4f06-99c6-574753ea9247,US,long_tail,average_growth,hip hop; reggae,109,54,5,200,0,524,21
Kunle Ajayi,ae7edca2-87bd-11e9-9a0e-801844edfa71,,long_tail,average_growth,,1,0,0,4,0,0,2
Bad Boy Timz,af27eea6-8933-11e9-b0df-549f35161576,NG,mainstream,average_growth,electro; hip hop; pop; religious; traditional,121,56,0,414,5,434,32
Ebuka Songs,af29d69f-738a-454a-aa83-77ebd0252d18,NG,mainstream,average_growth,religious; traditional,86,71,26,400,1,85,27
Abdu Boda,b0b8935c-b8ea-11e8-ae6b-525400009efb,NG,long_tail,average_growth,pop; traditional,190,18,0,3,0,3,14
T.I BLAZE,b0f82282-8b3a-4364-a963-fc99f2dca69d,NG,mainstream,average_growth,electro; hip hop; pop; religious; soul,206,76,11,402,0,123,37
Billar Stoner,b1e396d4-5b0b-40da-aff2-8b710a3530e3,NG,long_tail,average_growth,electro,12,7,0,1,0,4,18
Llona,b3917c57-f141-45b4-ae28-02417e67b5d7,NG,mid_level,average_growth,alternative; electro; pop; r&b; religious; soul; traditional,43,27,141,401,5,88,28
Lifesize Teddy,b50e9619-c8ce-4b8c-87e7-a752730822f7,PT,long_tail,average_growth,electro; hip hop; reggae; traditional,4,5,0,237,0,43,22
CupidSzn,b52989c6-52d8-4ecd-b7b6-5cfbc0f3a602,NG,long_tail,high_growth,electro; latin; traditional,29,23,7,405,0,66,22
Rahama Sadau,b54262d2-a7ab-491f-8d0a-ecc3bb9bd9cb,,long_tail,average_growth,,1,0,0,0,0,0,6
Modola,b54784b4-e3dd-4df2-9564-a523bca36a1a,IT,long_tail,average_growth,edm; electro; r&b,13,6,0,58,0,39,23
Orits Wiliki,b55e5639-5abe-404f-8d74-6abc9dd26a8a,NG,long_tail,average_growth,reggae; traditional,21,0,0,1,0,2,8
Anyidons,b699e4f2-f0f1-11e9-a251-801844ee83a6,NG,long_tail,average_growth,electro; pop; traditional,124,68,4,186,0,46,17
Marenikae,b8123cd4-b34f-11e8-8a2e-525400009efb,NG,long_tail,average_growth,r&b,31,10,0,0,0,7,19
Andre Vibez,b87e7fb7-acb5-4f52-9569-7001e601864f,VN,long_tail,average_growth,electro; latin,4,4,0,171,0,9,17
London,b8c3d1d9-1009-4245-a23e-4c0ae21c14dd,,long_tail,average_growth,metal; rock,91,17,0,400,0,84,7
Garzali Miko,b9a3d020-1d61-4945-836f-69065002e040,NG,long_tail,average_growth,electro; pop,109,38,4,159,0,1,20
Syemca,b9de37a4-0022-11ea-8115-549f35141000,NG,long_tail,average_growth,electro; pop; soul; traditional,18,12,0,401,0,44,21
Soundz,ba251160-c450-11e8-b9ec-525400009efb,NG,long_tail,decline,electro; pop; r&b; soul; traditional,103,48,2,402,0,162,29
Princess Peters,baad5e0c-d222-4671-adae-e55c931a26be,NG,long_tail,average_growth,religious,28,15,0,13,0,2,14
KDDO,bafc2af5-cee0-43d8-b180-7574949f1335,NG,long_tail,average_growth,electro; pop; traditional,42,15,5,408,0,363,29
Ossy Brown,bc0b8bf6-f34f-11e9-aecc-801844ee83a6,GB,long_tail,average_growth,pop; r&b,38,27,0,200,8,11,22
S1ordie,bc76f323-7669-4835-ba09-6659e1e3acfa,US,long_tail,average_growth,,122,32,7,122,0,3,17
Cheque,bc8ed13e-87be-11e9-8e36-549f35141000,NG,long_tail,average_growth,alternative; electro; pop; r&b; religious; soul; traditional,97,37,14,407,0,245,32
Smur Lee,bcef0122-ac75-40fb-8aa8-1eaf344c2ea9,NG,long_tail,average_growth,edm; electro; traditional,61,30,11,410,0,126,24
Saffron,bcf17232-507d-4133-87f5-c0ebb55410c6,,long_tail,average_growth,,14,2,1,200,0,23,2
NO11,bece878a-4351-4b35-8f94-1d8e36e292b0,NG,long_tail,average_growth,edm; electro; hip hop; traditional,47,30,22,481,0,67,21
Kfmd,befb7c02-2575-4cfc-a317-18578863a2fa,NG,long_tail,average_growth,electro; r&b,9,5,37,331,0,26,12
Sadi Sidi Sharifai,bf50000a-3911-11ea-8120-e4434b2a4898,NG,long_tail,average_growth,pop; traditional,163,25,2,6,0,9,15
OG Abbah,bfa58f24-859f-4045-b121-e203a560e900,NG,long_tail,average_growth,edm; electro,38,19,0,276,0,31,19
M Trill,c0178aa6-2468-4b86-bd55-950d20ee73c0,NG,long_tail,average_growth,,12,2,0,0,0,1,8
Shanga,c062551c-c1b5-11e8-b923-525400009efb,CH,long_tail,average_growth,electro; pop,34,24,0,103,9,18,21
