entity_name,variable_name,period_label,aggregation_rule,aggregated_value,first_value,last_value,obs_count
2Baba,Deezer_fans_daily,Q2_2023,net_change,69.0,10018.0,10087.0,89
2Baba,Deezer_fans_daily,Q2_2024,net_change,32.0,10289.0,10321.0,48
2Baba,Deezer_fans_daily,Q2_2025,net_change,54.0,10493.0,10547.0,49
2Baba,Deezer_fans_daily,Q2_2026,net_change,129.0,10770.0,10899.0,42
2Baba,Deezer_fans_daily,Q3_2019,net_change,125.0,1122.0,1247.0,92
2Baba,Deezer_fans_daily,Q3_2020,net_change,626.0,5899.0,6525.0,91
2Baba,Deezer_fans_daily,Q3_2021,net_change,538.0,7548.0,8086.0,92
2Baba,Deezer_fans_daily,Q3_2022,net_change,227.0,9579.0,9806.0,92
2Baba,Deezer_fans_daily,Q3_2023,net_change,67.0,10088.0,10155.0,92
2Baba,Deezer_fans_daily,Q3_2024,net_change,48.0,10321.0,10369.0,92
2Baba,Deezer_fans_daily,Q3_2025,net_change,74.0,10547.0,10621.0,50
2Baba,Deezer_fans_daily,Q3_2026,net_change,59.0,10901.0,10960.0,20
2Baba,Deezer_fans_daily,Q4_2019,net_change,56.0,1247.0,1303.0,92
2Baba,Deezer_fans_daily,Q4_2020,net_change,329.0,6527.0,6856.0,92
2Baba,Deezer_fans_daily,Q4_2021,net_change,430.0,8094.0,8524.0,90
2Baba,Deezer_fans_daily,Q4_2022,net_change,116.0,9809.0,9925.0,92
2Baba,Deezer_fans_daily,Q4_2023,net_change,85.0,10156.0,10241.0,92
2Baba,Deezer_fans_daily,Q4_2024,net_change,47.0,10372.0,10419.0,46
2Baba,Deezer_fans_daily,Q4_2025,net_change,89.0,10621.0,10710.0,51
2Baba,Facebook_followers_daily,Q1_2019,net_change,-2555.0,662298.0,666096.0,74
2Baba,Facebook_followers_daily,Q1_2020,net_change,6623.0,674120.0,681758.0,83
2Baba,Facebook_followers_daily,Q1_2021,net_change,85346.0,723908.0,2016891.0,76
2Baba,Facebook_followers_daily,Q1_2022,net_change,-12225.0,1515544.0,1527828.0,53
2Baba,Facebook_followers_daily,Q1_2023,net_change,-913.0,1621931.0,1624544.0,23
2Baba,Facebook_followers_daily,Q1_2024,net_change,1197.0,1666314.0,1667595.0,23
2Baba,Facebook_followers_daily,Q1_2025,net_change,-8648.0,1625425.0,2614677.0,59
2Baba,Facebook_followers_daily,Q1_2026,net_change,-33676.0,2400000.0,2479390.0,46
2Baba,Facebook_followers_daily,Q2_2019,net_change,2780.0,663643.0,666602.0,91
2Baba,Facebook_followers_daily,Q2_2020,net_change,5413.0,681915.0,688627.0,89
2Baba,Facebook_followers_daily,Q2_2021,net_change,337081.0,830.0,1150286.0,89
2Baba,Facebook_followers_daily,Q2_2022,net_change,4134.0,1513291.0,1520164.0,43
2Baba,Facebook_followers_daily,Q2_2023,net_change,3046.0,1621245.0,1625141.0,24
2Baba,Facebook_followers_daily,Q2_2024,net_change,-4794.0,1661495.0,1667674.0,37
2Baba,Facebook_followers_daily,Q2_2025,net_change,-25358.0,1608520.0,2603567.0,49
2Baba,Facebook_followers_daily,Q2_2026,net_change,-32015.0,2413526.0,2445541.0,46
2Baba,Facebook_followers_daily,Q3_2019,net_change,1675.0,666412.0,669523.0,87
2Baba,Facebook_followers_daily,Q3_2020,net_change,28027.0,686428.0,715351.0,86
2Baba,Facebook_followers_daily,Q3_2021,net_change,310560.0,1153156.0,1463716.0,87
2Baba,Facebook_followers_daily,Q3_2022,net_change,90301.0,1521037.0,1611577.0,18
2Baba,Facebook_followers_daily,Q3_2023,net_change,32049.0,1625152.0,1657201.0,24
2Baba,Facebook_followers_daily,Q3_2024,net_change,-13843.0,1649093.0,1662936.0,44
2Baba,Facebook_followers_daily,Q3_2025,net_change,4266.0,1602596.0,1613040.0,39
2Baba,Facebook_followers_daily,Q3_2026,net_change,-13028.0,2399798.0,2412826.0,37
2Baba,Facebook_followers_daily,Q4_2019,net_change,7065.0,667681.0,675937.0,85
2Baba,Facebook_followers_daily,Q4_2020,net_change,10042.0,715372.0,725721.0,86
2Baba,Facebook_followers_daily,Q4_2021,net_change,63334.0,1464863.0,1528657.0,58
2Baba,Facebook_followers_daily,Q4_2022,net_change,3572.0,1619379.0,1628602.0,30
2Baba,Facebook_followers_daily,Q4_2023,net_change,8652.0,1657440.0,1666100.0,20
2Baba,Facebook_followers_daily,Q4_2024,net_change,-17073.0,1631572.0,1648645.0,38
2Baba,Facebook_followers_daily,Q4_2025,net_change,871345.0,1601409.0,2495345.0,40
2Baba,Facebook_likes_daily,Q1_2025,net_change,-8648.0,2601003.0,2614677.0,56
2Baba,Facebook_likes_daily,Q1_2026,net_change,2447121.0,0.0,2447121.0,10
2Baba,Facebook_likes_daily,Q2_2025,net_change,-7725.0,2592775.0,2603567.0,14
2Baba,Facebook_likes_daily,Q4_2025,net_change,0.0,0.0,0.0,14
2Baba,Facebook_talks_daily,Q1_2025,sum,197493.0,1034.0,25943.0,56
2Baba,Facebook_talks_daily,Q1_2026,sum,15845.0,878.0,3477.0,10
2Baba,Facebook_talks_daily,Q2_2025,sum,119812.0,1271.0,24013.0,14
2Baba,Facebook_talks_daily,Q4_2025,sum,47946.0,1814.0,5977.0,14
