cm_artist_id,artist_name,country,genres,label,spotify_id,youtube_id,status
180612,2Baba,NG,,,,,verified
3683,9ice,NG,,,,,verified
640717,Adekunle Gold,NG,,,,,verified
202020,Ajebutter22,NG,,,,,verified
834689,Amaarae,NG,,,,,verified
1779041,Asake,NG,,,,,verified
4200054,Ayra Starr,NG,,,,,verified
63541,Aṣa,NG,,,,,verified
1363515,BNXN,NG,,,,,verified
1596343,Bad Boy Timz,NG,,,,,verified
107373,Banky W.,NG,,,,,verified
9591956,Bayanni,NG,,,,,verified
1526513,Bella Shmurda,NG,,,,,verified
880055,Blaqbonez,NG,,,,,verified
9901852,Bloody Civilian,NG,,,,,verified
317847,Boj,NG,,,,,verified
6124353,Boy Spyce,NG,,,,,verified
712,Bracket,NG,,,,,verified
15051,Brymo,NG,,,,,verified
441923,Burna Boy,NG,,,,,verified
101087,CDQ,NG,,,,,verified
919695,CKay,NG,,,,,verified
1139022,Chike,NG,,,,,verified
1705853,Crayon,NG,,,,,verified
921836,Cruel Santino,NG,,,,,verified
3225,D'banj,NG,,,,,verified
12822800,DJ Cuppy,NG,,,,,verified
269281,DJ Neptune,NG,,,,,verified
1068888,DJ Spinall,NG,,,,,verified
423004,Dammy Krane,NG,,,,,verified
510303,Darey,NG,,,,,verified
821653,Darkoo,NG,,,,,verified
4723,Davido,NG,,,,,verified
627972,Dice Ailes,NG,,,,,verified
367518,Dremo,NG,,,,,verified
410515,Duncan Mighty,NG,,,,,verified
7794895,Ebenezer Obey,NG,,,,,verified
543431,Eldee,NG,,,,,verified
5416,Falz,NG,,,,,verified
1194,Fela Kuti,NG,,,,,verified
1359817,Fireboy DML,NG,,,,,verified
56982,Flavour,NG,,,,,verified
268217,HarrySong,NG,,,,,verified
4107,Ice Prince,NG,,,,,verified
43445,Illbliss,NG,,,,,verified
211380,Iyanya,NG,,,,,verified
194174,Jesse Jagz,NG,,,,,verified
1141538,Joeboy,NG,,,,,verified
521793,Johnny Drille,NG,,,,,verified
8358898,Khaid,NG,,,,,verified
47108,King Sunny Ade,NG,,,,,verified
1033822,Kizz Daniel,NG,,,,,verified
161462,Korede Bello,NG,,,,,verified
747150,LADIPOE,NG,,,,,verified
629778,Lady Donli,NG,,,,,verified
112315,Lagbaja,NG,,,,,verified
3976019,Libianca,NG,,,,,verified
5380,Lil Kesh,NG,,,,,verified
1407482,Lojay,NG,,,,,verified
883219,Lyta,NG,,,,,verified
57275,M.I. Abaga,NG,,,,,verified
3385702,Magixx,NG,,,,,verified
5370,Maleek Berry,NG,,,,,verified
260858,Mannywellz,NG,,,,,verified
261082,Mayorkun,NG,,,,,verified
1572633,Mohbad,NG,,,,,verified
211382,Mr Eazi,NG,,,,,verified
818502,Mr Real,NG,,,,,verified
429240,Naeto C,NG,,,,,verified
427024,Naira Marley,NG,,,,,verified
409530,Niniola,NG,,,,,verified
485812,Nonso Amadi,NG,,,,,verified
3606151,ODUMODUBLVCK,NG,,,,,verified
11587,Odunsi (The Engine),NG,,,,,verified
1103816,Olakira,NG,,,,,verified
5061,Olamide,NG,,,,,verified
29054,Olu Maintain,NG,,,,,verified
3578130,Omah Lay,NG,,,,,verified
3803802,Oritsefemi,NG,,,,,verified
1373421,Oxlade,NG,,,,,verified
3740,P-Square,NG,,,,,verified
5321,Patoranking,NG,,,,,verified
745195,Peruzzi,NG,,,,,verified
406946,Pheelz,NG,,,,,verified
5012,Phyno,NG,,,,,verified
8230229,Portable,NG,,,,,verified
310091,Praiz,NG,,,,,verified
918914,Prettyboy D-O,NG,,,,,verified
9785228,Qing Madi,NG,,,,,verified
237551,Reekado Banks,NG,,,,,verified
1426518,Rema,NG,,,,,verified
317357,Reminisce,NG,,,,,verified
638877,Ric Hassani,NG,,,,,verified
1630426,Rude Boy,NG,,,,,verified
4198930,Ruger,NG,,,,,verified
308113,Sarz,NG,,,,,verified
321148,Sauce Kid,NG,,,,,verified
203976,Sean Tizzle,NG,,,,,verified
39092,Seyi Shay,NG,,,,,verified
1637455,Seyi Vibez,NG,,,,,verified
6487237,Shallipopi,NG,,,,,verified
655429,Show Dem Camp,NG,,,,,verified
374667,Simi,NG,,,,,verified
680380,Skiibii,NG,,,,,verified
515515,Small Doctor,NG,,,,,verified
92994,Solidstar,NG,,,,,verified
249694,Sound Sultan,NG,,,,,verified
536112,Spyro,NG,,,,,verified
565281,Tay Iwar,NG,,,,,verified
426512,Tekno,NG,,,,,verified
9190388,Tempoe,NG,,,,,verified
1345060,Tems,NG,,,,,verified
349654,Teni,NG,,,,,verified
883093,Terri,NG,,,,,verified
228944,Terry Apala,NG,,,,,verified
210713,Timaya,NG,,,,,verified
4686,Tiwa Savage,NG,,,,,verified
170806,Vector,NG,,,,,verified
3905071,Victony,NG,,,,,verified
429450,Waje,NG,,,,,verified
3499,Wande Coal,NG,,,,,verified
4390,Wizkid,NG,,,,,verified
424613,WurlD,NG,,,,,verified
5382,Ycee,NG,,,,,verified
211381,Yemi Alade,NG,,,,,verified
1186093,Young Jonn,NG,,,,,verified
5060,Yung6ix,NG,,,,,verified
1582294,Zinoleesky,NG,,,,,verified
392233,Zlatan,NG,,,,,verified
