entity_type,entity_name,chartmetric_entity_id,variable_name,platform,geo_scope,geo_label,period_label,aggregation_rule,aggregated_value,unit,qoq_change,yoy_change
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q1_2024,net_change,39.0,followers,,
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q1_2025,net_change,91.0,followers,-100.0,52.0
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q2_2024,net_change,56.0,followers,17.0,
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q2_2025,net_change,160.0,followers,69.0,104.0
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q3_2024,net_change,52.0,followers,-4.0,
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q3_2025,net_change,116.0,followers,-44.0,64.0
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q4_2024,net_change,191.0,followers,139.0,
artist,Ajebutter22,202020,Bandsintown_followers_daily,Bandsintown,global,,Q4_2025,net_change,67.0,followers,-49.0,-124.0
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q1_2024,net_change,534.0,followers,,
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q1_2025,net_change,-1496.0,followers,26.0,-2030.0
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q2_2024,net_change,1392.0,followers,858.0,
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q2_2025,net_change,-1344.0,followers,152.0,-2736.0
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q3_2024,net_change,-1912.0,followers,-3304.0,
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q3_2025,net_change,0.0,followers,1344.0,1912.0
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q4_2024,net_change,-1522.0,followers,390.0,
artist,Ajebutter22,202020,Instagram_followers_daily,Instagram,global,,Q4_2025,net_change,0.0,followers,0.0,1522.0
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q1_2024,net_change,32.0,followers,,
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q1_2025,net_change,2.0,followers,-3.0,-30.0
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q2_2024,net_change,17.0,followers,-15.0,
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q2_2025,net_change,8.0,followers,6.0,-9.0
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q3_2024,net_change,10.0,followers,-7.0,
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q3_2025,net_change,1.0,followers,-7.0,-9.0
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q4_2024,net_change,5.0,followers,-5.0,
artist,Ajebutter22,202020,Soundcloud_followers_daily,Soundcloud,global,,Q4_2025,net_change,6.0,followers,5.0,1.0
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q1_2024,net_change,4898.0,followers,,
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q1_2025,net_change,1276.0,followers,5.0,-3622.0
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q2_2024,net_change,4770.0,followers,-128.0,
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q2_2025,net_change,727.0,followers,-549.0,-4043.0
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q3_2024,net_change,2590.0,followers,-2180.0,
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q3_2025,net_change,2672.0,followers,1945.0,82.0
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q4_2024,net_change,1271.0,followers,-1319.0,
artist,Ajebutter22,202020,Spotify_followers_daily,Spotify,global,,Q4_2025,net_change,3355.0,followers,683.0,2084.0
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q1_2024,net_change,-43480.0,listeners,,
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q1_2025,net_change,-11546.0,listeners,8015.0,31934.0
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q2_2024,net_change,-36641.0,listeners,6839.0,
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q2_2025,net_change,13147.0,listeners,24693.0,49788.0
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q3_2024,net_change,-37229.0,listeners,-588.0,
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q3_2025,net_change,20051.0,listeners,6904.0,57280.0
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q4_2024,net_change,-19561.0,listeners,17668.0,
artist,Ajebutter22,202020,Spotify_monthly_listeners_daily,Spotify,global,,Q4_2025,net_change,-14719.0,listeners,-34770.0,4842.0
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q1_2024,net_change,500.0,subscribers,,
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q1_2025,net_change,180.0,subscribers,-26.0,-320.0
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q2_2024,net_change,200.0,subscribers,-300.0,
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q2_2025,net_change,187.0,subscribers,7.0,-13.0
artist,Ajebutter22,202020,YouTube_subscribers_daily,YouTube,global,,Q3_2024,net_change,323.0,subscribers,123.0,
