period,artist_name,total_streaming_revenue_usd,nigeria_domestic_share_pct,domestic_revenue_usd,export_share_pct,gross_export_revenue_usd,gross_export_revenue_ngn,top_export_markets,source
Q4_2025,Bracket,54490.41,30,16347.12,70,38143.29,57214927.98,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Brymo,31599.99,30,9480,70,22119.99,33179986.35,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Burna Boy,9.42,30,2.82,70,6.59,9885.96,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,CDQ,19623.24,30,5886.97,70,13736.27,20604402.63,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,CKay,705504.26,30,211651.28,70,493852.98,740779469,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Chike,342587.56,30,102776.27,70,239811.29,359716940.7,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Crayon,117488.84,30,35246.65,70,82242.19,123363286.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Cruel Santino,46136,30,13840.8,70,32295.2,48442804.2,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,D'banj,39440.44,30,11832.13,70,27608.31,41412462.63,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,DJ Neptune,64939.25,30,19481.78,70,45457.48,68186215.02,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,DJ Spinall,67288.65,30,20186.6,70,47102.06,70653086.28,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Dammy Krane,1871.08,30,561.32,70,1309.76,1964636.73,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Darey,23895.16,30,7168.55,70,16726.61,25089916.32,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Darkoo,263710.96,30,79113.29,70,184597.67,276896505.1,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Davido,842519.84,30,252755.95,70,589763.89,884645831.4,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Dice Ailes,10432.53,30,3129.76,70,7302.77,10954151.46,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Dremo,12765.35,30,3829.61,70,8935.75,13403621.7,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Duncan Mighty,38614.91,30,11584.47,70,27030.44,40545660.54,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Eldee,4074.12,30,1222.24,70,2851.88,4277823.48,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Falz,50773.15,30,15231.94,70,35541.2,53311803.51,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Fela Kuti,33060.16,30,9918.05,70,23142.11,34713163.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Fireboy DML,615647.74,30,184694.32,70,430953.42,646430125.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Flavour,781372,30,234411.6,70,546960.4,820440599.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Flavour N'abania,703243.99,30,210973.2,70,492270.79,738406189.1,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,HarrySong,22782.88,30,6834.86,70,15948.01,23922022.32,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Ice Prince,57940.3,30,17382.09,70,40558.21,60837312.9,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Illbliss,12979.62,30,3893.89,70,9085.74,13628602.89,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Iyanya,69680.94,30,20904.28,70,48776.66,73164989.31,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Jesse Jagz,9088.26,30,2726.48,70,6361.78,9542669.85,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Joeboy,466998.96,30,140099.69,70,326899.27,490348903,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Johnny Drille,212062.26,30,63618.68,70,148443.58,222665375.5,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Khaid,264536.98,30,79361.09,70,185175.88,277763826.1,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,King Sunny Ade,13140.11,30,3942.03,70,9198.08,13797117.18,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Kizz Daniel,397331.26,30,119199.38,70,278131.88,417197826.4,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Korede Bello,50972.25,30,15291.67,70,35680.57,53520858.93,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,LADIPOE,88431.82,30,26529.55,70,61902.28,92853414.36,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Lady Donli,8224.38,30,2467.32,70,5757.07,8635602.78,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Lagbaja,1794.89,30,538.47,70,1256.43,1884638.07,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Libianca,373967.07,30,112190.12,70,261776.95,392665421.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Lil Kesh,68032.58,30,20409.77,70,47622.8,71434204.38,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Lojay,310185.65,30,93055.7,70,217129.96,325694933.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Lyta,39485.19,30,11845.56,70,27639.64,41459452.65,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,M.I. Abaga,32262.06,30,9678.62,70,22583.44,33875157.96,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Magixx,126774.66,30,38032.4,70,88742.26,133113394.9,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Maleek Berry,74961.05,30,22488.32,70,52472.74,78709103.13,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Mannywellz,25238.85,30,7571.66,70,17667.2,26500793.13,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Mayorkun,123342.65,30,37002.8,70,86339.86,129509783.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Mohbad,94535.51,30,28360.65,70,66174.86,99262287.18,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Mr Eazi,296434.74,30,88930.42,70,207504.32,311256475.7,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Mr Real,2829.7,30,848.91,70,1980.79,2971188.99,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Naeto C,6299.59,30,1889.88,70,4409.71,6614567.82,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Naira Marley,315390.01,30,94617,70,220773.01,331159515.8,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Niniola,37781.65,30,11334.5,70,26447.16,39670733.97,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Nonso Amadi,57381.73,30,17214.52,70,40167.21,60250819.86,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,ODUMODUBLVCK,267211.86,30,80163.56,70,187048.3,280572453.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Odunsi (The Engine),22866.11,30,6859.83,70,16006.27,24009411.51,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Olakira,141167.68,30,42350.3,70,98817.38,148226066.1,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Olamide,288283.41,30,86485.02,70,201798.39,302697583.2,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Olu Maintain,5688.07,30,1706.42,70,3981.65,5972476.23,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Omah Lay,1072838.27,30,321851.48,70,750986.79,1126480186,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Oxlade,305543.6,30,91663.08,70,213880.52,320820779.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,P-Square,241579.6,30,72473.88,70,169105.72,253658580,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Patoranking,150022.32,30,45006.7,70,105015.62,157523435.6,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Peruzzi,36719.18,30,11015.75,70,25703.42,38555135.01,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Pheelz,200474.56,30,60142.37,70,140332.19,210498288.2,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Phyno,122621.84,30,36786.55,70,85835.29,128752936,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Portable,73649.18,30,22094.75,70,51554.43,77331640.05,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Praiz,13487.76,30,4046.33,70,9441.43,14162147.37,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Prettyboy D-O,7644.73,30,2293.42,70,5351.31,8026962.3,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
Q4_2025,Qing Madi,156802.59,30,47040.78,70,109761.82,164642724.5,"US, UK, France, Ghana, South Africa",Chartmetric + SoundCharts + WIPO 2025 methodology
