entity_name,variable_name,period_label,aggregation_rule,aggregated_value,first_value,last_value,obs_count
2Baba,YouTube_artist_monthly_views,Q1_2025,sum,141882369.0,2292132.0,2271853.0,54
2Baba,YouTube_artist_monthly_views,Q1_2026,sum,101715654.0,2555934.0,2655992.0,40
2Baba,YouTube_artist_monthly_views,Q2_2025,sum,98227975.0,2274947.0,2145397.0,45
2Baba,YouTube_artist_monthly_views,Q3_2025,sum,108831716.0,2155352.0,2794784.0,44
2Baba,YouTube_artist_monthly_views,Q4_2025,sum,116227961.0,2797990.0,2607867.0,46
2Baba,YouTube_channel_views_daily,Q1_2025,sum,15483393550.0,168358820.0,175404100.0,90
2Baba,YouTube_channel_views_daily,Q1_2026,sum,17677136110.0,193673310.0,198919440.0,90
2Baba,YouTube_channel_views_daily,Q2_2025,sum,16237139340.0,175474500.0,181396100.0,91
2Baba,YouTube_channel_views_daily,Q3_2025,sum,16967786360.0,181459600.0,187901520.0,92
2Baba,YouTube_channel_views_daily,Q4_2025,sum,17571220530.0,188072540.0,193626660.0,92
2Baba,YouTube_subscribers_daily,Q1_2025,net_change,13310.0,440833.0,454143.0,90
2Baba,YouTube_subscribers_daily,Q1_2026,net_change,5643.0,487357.0,493000.0,90
2Baba,YouTube_subscribers_daily,Q2_2025,net_change,9714.0,454286.0,464000.0,91
2Baba,YouTube_subscribers_daily,Q3_2025,net_change,12560.0,464167.0,476727.0,92
2Baba,YouTube_subscribers_daily,Q4_2025,net_change,10468.0,476818.0,487286.0,92
9ice,Bandsintown_followers_daily,Q1_2025,net_change,64.0,3084.0,3148.0,180
9ice,Bandsintown_followers_daily,Q2_2025,net_change,92.0,3150.0,3242.0,62
9ice,Bandsintown_followers_daily,Q3_2025,net_change,131.0,3244.0,3375.0,60
9ice,Bandsintown_followers_daily,Q4_2025,net_change,61.0,3378.0,3439.0,28
9ice,Deezer_fans_daily,Q1_2025,net_change,15.0,9950.0,9965.0,90
9ice,Deezer_fans_daily,Q1_2026,net_change,20.0,10039.0,10059.0,89
9ice,Deezer_fans_daily,Q2_2025,net_change,25.0,9965.0,9990.0,90
9ice,Deezer_fans_daily,Q3_2025,net_change,23.0,9990.0,10013.0,92
9ice,Deezer_fans_daily,Q4_2025,net_change,26.0,10013.0,10039.0,91
9ice,Facebook_followers_daily,Q1_2025,net_change,2770.0,191306.0,194076.0,55
9ice,Facebook_followers_daily,Q1_2026,net_change,1000.0,203000.0,204000.0,11
9ice,Facebook_followers_daily,Q2_2025,net_change,2450.0,194550.0,197000.0,15
9ice,Facebook_followers_daily,Q3_2025,net_change,0.0,191000.0,191000.0,1
9ice,Facebook_followers_daily,Q4_2025,net_change,0.0,200000.0,200000.0,6
9ice,Facebook_likes_daily,Q1_2025,net_change,-969.0,192050.0,191081.0,55
9ice,Facebook_likes_daily,Q1_2026,net_change,204422.0,0.0,204422.0,11
9ice,Facebook_likes_daily,Q2_2025,net_change,92.0,191103.0,191195.0,15
9ice,Facebook_likes_daily,Q3_2025,net_change,0.0,188000.0,188000.0,1
9ice,Facebook_likes_daily,Q4_2025,net_change,0.0,0.0,0.0,6
9ice,Facebook_talks_daily,Q1_2025,sum,19095.0,7.0,3355.0,55
9ice,Facebook_talks_daily,Q1_2026,sum,55635.0,11895.0,1776.0,11
9ice,Facebook_talks_daily,Q2_2025,sum,38820.0,3745.0,1756.0,15
9ice,Facebook_talks_daily,Q3_2025,sum,390.0,390.0,390.0,1
9ice,Facebook_talks_daily,Q4_2025,sum,19219.0,4211.0,2176.0,6
9ice,Instagram_followers_daily,Q1_2025,net_change,-1939.0,1305865.0,1303926.0,176
9ice,Instagram_followers_daily,Q1_2026,net_change,-4207.0,1222739.0,1218532.0,88
9ice,Instagram_followers_daily,Q2_2025,net_change,-32593.0,1303823.0,1271230.0,178
9ice,Instagram_followers_daily,Q3_2025,net_change,-40317.0,1271306.0,1230989.0,120
9ice,Instagram_followers_daily,Q4_2025,net_change,-7596.0,1230453.0,1222857.0,164
9ice,Spotify_followers_daily,Q1_2025,net_change,8308.0,230987.0,239295.0,180
9ice,Spotify_followers_daily,Q1_2026,net_change,8980.0,269808.0,278788.0,90
9ice,Spotify_followers_daily,Q2_2025,net_change,9931.0,239351.0,249282.0,182
9ice,Spotify_followers_daily,Q3_2025,net_change,10757.0,249402.0,260159.0,184
9ice,Spotify_followers_daily,Q4_2025,net_change,9431.0,260270.0,269701.0,184
9ice,Spotify_monthly_listeners_daily,Q1_2025,net_change,-38087.0,307332.0,269245.0,180
9ice,Spotify_monthly_listeners_daily,Q1_2026,net_change,-84895.0,375777.0,290882.0,90
9ice,Spotify_monthly_listeners_daily,Q2_2025,net_change,70607.0,269603.0,340210.0,182
9ice,Spotify_monthly_listeners_daily,Q3_2025,net_change,-9822.0,341162.0,331340.0,92
9ice,Spotify_monthly_listeners_daily,Q4_2025,net_change,44336.0,330872.0,375208.0,184
9ice,Spotify_popularity_daily,Q1_2025,last_value,46.0,48.0,46.0,82
9ice,Spotify_popularity_daily,Q1_2026,last_value,47.0,49.0,47.0,76
9ice,Spotify_popularity_daily,Q2_2025,last_value,49.0,46.0,49.0,64
9ice,Spotify_popularity_daily,Q3_2025,last_value,49.0,49.0,49.0,89
9ice,Spotify_popularity_daily,Q4_2025,last_value,48.0,49.0,48.0,77
9ice,Wikipedia_views_daily,Q1_2025,sum,12266.0,67.0,74.0,174
9ice,Wikipedia_views_daily,Q1_2026,sum,5181.0,103.0,55.0,84
9ice,Wikipedia_views_daily,Q2_2025,sum,16474.0,66.0,95.0,182
9ice,Wikipedia_views_daily,Q3_2025,sum,24966.0,102.0,223.0,184
9ice,Wikipedia_views_daily,Q4_2025,sum,11564.0,162.0,71.0,184
9ice,YouTube_channel_views_daily,Q1_2025,sum,644859874.0,6505559.0,7833576.0,90
9ice,YouTube_channel_views_daily,Q1_2026,sum,1196743702.0,12463927.0,14191892.0,90
9ice,YouTube_channel_views_daily,Q2_2025,sum,780820431.0,7848436.0,9327357.0,91
9ice,YouTube_channel_views_daily,Q3_2025,sum,918817324.0,9345316.0,10883403.0,91
9ice,YouTube_channel_views_daily,Q4_2025,sum,1075943842.0,10895573.0,12446350.0,92
9ice,YouTube_subscribers_daily,Q1_2025,net_change,-10.0,2588.0,2578.0,180
9ice,YouTube_subscribers_daily,Q1_2026,net_change,0.0,2570.0,2570.0,90
9ice,YouTube_subscribers_daily,Q2_2025,net_change,-4.0,2578.0,2574.0,182
9ice,YouTube_subscribers_daily,Q3_2025,net_change,-3.0,2574.0,2571.0,184
9ice,YouTube_subscribers_daily,Q4_2025,net_change,-1.0,2571.0,2570.0,178
Adekunle Gold,Bandsintown_followers_daily,Q1_2025,net_change,1847.0,33849.0,35696.0,90
Adekunle Gold,Bandsintown_followers_daily,Q2_2025,net_change,3355.0,35696.0,39051.0,31
Adekunle Gold,Bandsintown_followers_daily,Q3_2025,net_change,3933.0,39232.0,43165.0,31
Adekunle Gold,Bandsintown_followers_daily,Q4_2025,net_change,1717.0,43249.0,44966.0,15
Adekunle Gold,Deezer_fans_daily,Q1_2025,net_change,2012.0,189608.0,191620.0,41
Adekunle Gold,Deezer_fans_daily,Q1_2026,net_change,1707.0,198678.0,200385.0,90
Adekunle Gold,Deezer_fans_daily,Q2_2025,net_change,2393.0,191638.0,194031.0,87
Adekunle Gold,Deezer_fans_daily,Q3_2025,net_change,2511.0,194060.0,196571.0,91
Adekunle Gold,Deezer_fans_daily,Q4_2025,net_change,2044.0,196619.0,198663.0,91
Adekunle Gold,Facebook_followers_daily,Q1_2025,net_change,-53782.0,4153668.0,4099886.0,56
Adekunle Gold,Facebook_followers_daily,Q1_2026,net_change,-99999.0,4099999.0,4000000.0,39
Adekunle Gold,Facebook_followers_daily,Q2_2025,net_change,-23277.0,4099185.0,4075908.0,14
Adekunle Gold,Facebook_followers_daily,Q3_2025,net_change,0.0,4000000.0,4000000.0,19
Adekunle Gold,Facebook_followers_daily,Q4_2025,net_change,99999.0,4000000.0,4099999.0,67
Adekunle Gold,Facebook_likes_daily,Q1_2025,net_change,-53782.0,4153668.0,4099886.0,56
Adekunle Gold,Facebook_likes_daily,Q1_2026,net_change,4099998.0,0.0,4099998.0,39
Adekunle Gold,Facebook_likes_daily,Q2_2025,net_change,-23277.0,4099185.0,4075908.0,14
Adekunle Gold,Facebook_likes_daily,Q3_2025,net_change,0.0,0.0,0.0,19
Adekunle Gold,Facebook_likes_daily,Q4_2025,net_change,0.0,0.0,0.0,67
Adekunle Gold,Facebook_talks_daily,Q1_2025,sum,290395.0,2707.0,4616.0,56
Adekunle Gold,Facebook_talks_daily,Q1_2026,sum,1444692.0,71490.0,19835.0,39
Adekunle Gold,Facebook_talks_daily,Q2_2025,sum,58392.0,4616.0,4032.0,14
Adekunle Gold,Facebook_talks_daily,Q3_2025,sum,617943.0,50796.0,58085.0,19
Adekunle Gold,Facebook_talks_daily,Q4_2025,sum,7531673.0,57475.0,64747.0,67
Adekunle Gold,Instagram_followers_daily,Q1_2025,net_change,-99058.0,9468902.0,9369844.0,88
Adekunle Gold,Instagram_followers_daily,Q1_2026,net_change,32985.0,9502305.0,9535290.0,89
Adekunle Gold,Instagram_followers_daily,Q2_2025,net_change,-31491.0,9369308.0,9337817.0,89
Adekunle Gold,Instagram_followers_daily,Q3_2025,net_change,44801.0,9338057.0,9382858.0,60
Adekunle Gold,Instagram_followers_daily,Q4_2025,net_change,117980.0,9383731.0,9501711.0,81
Adekunle Gold,Soundcloud_followers_daily,Q1_2025,net_change,473.0,20281.0,20754.0,81
Adekunle Gold,Soundcloud_followers_daily,Q1_2026,net_change,380.0,22245.0,22625.0,90
Adekunle Gold,Soundcloud_followers_daily,Q2_2025,net_change,500.0,20760.0,21260.0,89
Adekunle Gold,Soundcloud_followers_daily,Q3_2025,net_change,478.0,21263.0,21741.0,91
Adekunle Gold,Soundcloud_followers_daily,Q4_2025,net_change,493.0,21751.0,22244.0,86
Adekunle Gold,Spotify_followers_daily,Q1_2025,net_change,174048.0,2291430.0,2465478.0,90
Adekunle Gold,Spotify_followers_daily,Q1_2026,net_change,176428.0,3040847.0,3217275.0,90
Adekunle Gold,Spotify_followers_daily,Q2_2025,net_change,195041.0,2467396.0,2662437.0,91
Adekunle Gold,Spotify_followers_daily,Q3_2025,net_change,190044.0,2663955.0,2853999.0,92
Adekunle Gold,Spotify_followers_daily,Q4_2025,net_change,181900.0,2856439.0,3038339.0,92
Adekunle Gold,Spotify_monthly_listeners_daily,Q1_2025,net_change,-21413.0,2617900.0,2596487.0,90
Adekunle Gold,Spotify_monthly_listeners_daily,Q1_2026,net_change,-351153.0,3229976.0,2878823.0,90
Adekunle Gold,Spotify_monthly_listeners_daily,Q2_2025,net_change,-179561.0,2597334.0,2417773.0,91
Adekunle Gold,Spotify_monthly_listeners_daily,Q3_2025,net_change,351420.0,2417569.0,2768989.0,92
Adekunle Gold,Spotify_monthly_listeners_daily,Q4_2025,net_change,450444.0,2775773.0,3226217.0,92
Adekunle Gold,Spotify_popularity_daily,Q1_2025,last_value,63.0,64.0,63.0,68
Adekunle Gold,Spotify_popularity_daily,Q1_2026,last_value,63.0,67.0,63.0,80
Adekunle Gold,Spotify_popularity_daily,Q2_2025,last_value,64.0,63.0,64.0,46
Adekunle Gold,Spotify_popularity_daily,Q3_2025,last_value,65.0,64.0,65.0,85
Adekunle Gold,Spotify_popularity_daily,Q4_2025,last_value,66.0,65.0,66.0,78
Adekunle Gold,TikTok_followers_daily,Q1_2025,net_change,41332.0,1777978.0,1819310.0,90
Adekunle Gold,TikTok_followers_daily,Q1_2026,net_change,0.0,2100000.0,2100000.0,90
Adekunle Gold,TikTok_followers_daily,Q2_2025,net_change,62069.0,1820000.0,1882069.0,91
Adekunle Gold,TikTok_followers_daily,Q3_2025,net_change,130449.0,1882759.0,2013208.0,92
Adekunle Gold,TikTok_followers_daily,Q4_2025,net_change,84906.0,2015094.0,2100000.0,89
Adekunle Gold,TikTok_likes_daily,Q1_2025,net_change,1614055.0,12114516.0,13728571.0,90
Adekunle Gold,TikTok_likes_daily,Q1_2026,net_change,1160000.0,23740000.0,24900000.0,90
Adekunle Gold,TikTok_likes_daily,Q2_2025,net_change,975325.0,13742857.0,14718182.0,91
Adekunle Gold,TikTok_likes_daily,Q3_2025,net_change,3872727.0,14727273.0,18600000.0,92
Adekunle Gold,TikTok_likes_daily,Q4_2025,net_change,5100000.0,18620000.0,23720000.0,92
Adekunle Gold,Twitter_followers_daily,Q1_2025,net_change,7317.0,3203815.0,3211132.0,73
Adekunle Gold,Twitter_followers_daily,Q1_2026,net_change,-382.0,3272381.0,3271999.0,79
Adekunle Gold,Twitter_followers_daily,Q2_2025,net_change,15758.0,3211499.0,3227257.0,72
Adekunle Gold,Twitter_followers_daily,Q3_2025,net_change,39717.0,3227167.0,3266884.0,66
Adekunle Gold,Twitter_followers_daily,Q4_2025,net_change,5201.0,3267338.0,3272539.0,90
Adekunle Gold,Wikipedia_views_daily,Q1_2025,sum,12758.0,163.0,136.0,90
Adekunle Gold,Wikipedia_views_daily,Q1_2026,sum,19077.0,147.0,100.0,84
Adekunle Gold,Wikipedia_views_daily,Q2_2025,sum,15820.0,115.0,208.0,91
Adekunle Gold,Wikipedia_views_daily,Q3_2025,sum,18101.0,141.0,212.0,92
Adekunle Gold,Wikipedia_views_daily,Q4_2025,sum,22355.0,194.0,169.0,92
Adekunle Gold,YouTube_artist_daily_views,Q1_2025,sum,12988358.0,200234.0,216273.0,72
Adekunle Gold,YouTube_artist_daily_views,Q1_2026,sum,16663542.0,247381.0,179084.0,75
Adekunle Gold,YouTube_artist_daily_views,Q2_2025,sum,8323952.0,179473.0,156918.0,45
Adekunle Gold,YouTube_artist_daily_views,Q3_2025,sum,9437354.0,176074.0,171516.0,45
Adekunle Gold,YouTube_artist_daily_views,Q4_2025,sum,12426371.0,204116.0,238355.0,45
Adekunle Gold,YouTube_artist_monthly_views,Q1_2025,sum,362457844.0,5318057.0,4920495.0,72
Adekunle Gold,YouTube_artist_monthly_views,Q1_2026,sum,270730568.0,6706880.0,5543665.0,42
Adekunle Gold,YouTube_artist_monthly_views,Q2_2025,sum,233385167.0,4986431.0,4861151.0,45
Adekunle Gold,YouTube_artist_monthly_views,Q3_2025,sum,261527232.0,4840803.0,5545011.0,45
Adekunle Gold,YouTube_artist_monthly_views,Q4_2025,sum,333620915.0,5618248.0,6623857.0,45
Adekunle Gold,YouTube_channel_views_daily,Q1_2025,sum,35537181190.0,388289540.0,401753950.0,90
Adekunle Gold,YouTube_channel_views_daily,Q1_2026,sum,42852680780.0,464327780.0,486961180.0,90
Adekunle Gold,YouTube_channel_views_daily,Q2_2025,sum,37223060840.0,401925660.0,416885340.0,91
Adekunle Gold,YouTube_channel_views_daily,Q3_2025,sum,39187411530.0,417119100.0,435485820.0,92
Adekunle Gold,YouTube_channel_views_daily,Q4_2025,sum,41435473420.0,435682400.0,464068030.0,92
Adekunle Gold,YouTube_subscribers_daily,Q1_2025,net_change,16666.0,910667.0,927333.0,90
Adekunle Gold,YouTube_subscribers_daily,Q1_2026,net_change,18235.0,1001765.0,1020000.0,90
Adekunle Gold,YouTube_subscribers_daily,Q2_2025,net_change,13958.0,927667.0,941625.0,91
Adekunle Gold,YouTube_subscribers_daily,Q3_2025,net_change,20250.0,941750.0,962000.0,92
Adekunle Gold,YouTube_subscribers_daily,Q4_2025,net_change,39138.0,962333.0,1001471.0,92
Ajebutter22,Bandsintown_followers_daily,Q1_2025,net_change,91.0,1806.0,1897.0,176
Ajebutter22,Bandsintown_followers_daily,Q2_2025,net_change,160.0,1907.0,2067.0,58
Ajebutter22,Bandsintown_followers_daily,Q3_2025,net_change,116.0,2077.0,2193.0,50
Ajebutter22,Bandsintown_followers_daily,Q4_2025,net_change,67.0,2202.0,2269.0,28
Ajebutter22,Deezer_fans_daily,Q1_2026,net_change,0.0,7.0,7.0,90
Ajebutter22,Deezer_fans_daily,Q4_2025,net_change,0.0,7.0,7.0,83
Ajebutter22,Facebook_followers_daily,Q1_2025,net_change,-81.0,3405.0,3324.0,35
Ajebutter22,Facebook_followers_daily,Q1_2026,net_change,0.0,3000.0,3000.0,10
Ajebutter22,Facebook_followers_daily,Q2_2025,net_change,-27.0,3324.0,3297.0,14
Ajebutter22,Facebook_followers_daily,Q4_2025,net_change,0.0,3000.0,3000.0,6
Ajebutter22,Facebook_likes_daily,Q1_2025,net_change,-81.0,3405.0,3324.0,35
Ajebutter22,Facebook_likes_daily,Q1_2026,net_change,3008.0,0.0,3008.0,10
Ajebutter22,Facebook_likes_daily,Q2_2025,net_change,-27.0,3324.0,3297.0,14
Ajebutter22,Facebook_likes_daily,Q4_2025,net_change,0.0,0.0,0.0,6
Ajebutter22,Facebook_talks_daily,Q1_2025,sum,37.0,2.0,0.0,35
Ajebutter22,Facebook_talks_daily,Q1_2026,sum,11.0,2.0,0.0,10
Ajebutter22,Facebook_talks_daily,Q2_2025,sum,10.0,1.0,0.0,14
Ajebutter22,Facebook_talks_daily,Q4_2025,sum,7.0,1.0,1.0,6
Ajebutter22,Instagram_followers_daily,Q1_2025,net_change,-1496.0,70995.0,69499.0,76
Ajebutter22,Instagram_followers_daily,Q1_2026,net_change,-728.0,67750.0,67022.0,2
Ajebutter22,Instagram_followers_daily,Q2_2025,net_change,-1344.0,69463.0,68119.0,40
Ajebutter22,Instagram_followers_daily,Q3_2025,net_change,0.0,66599.0,66599.0,2
Ajebutter22,Instagram_followers_daily,Q4_2025,net_change,0.0,68242.0,68242.0,2
Ajebutter22,Soundcloud_followers_daily,Q1_2025,net_change,2.0,1974.0,1976.0,134
Ajebutter22,Soundcloud_followers_daily,Q1_2026,net_change,9.0,1993.0,2002.0,90
Ajebutter22,Soundcloud_followers_daily,Q2_2025,net_change,8.0,1977.0,1985.0,62
Ajebutter22,Soundcloud_followers_daily,Q3_2025,net_change,1.0,1985.0,1986.0,12
Ajebutter22,Soundcloud_followers_daily,Q4_2025,net_change,6.0,1987.0,1993.0,42
Ajebutter22,Spotify_followers_daily,Q1_2025,net_change,1276.0,154222.0,155498.0,180
Ajebutter22,Spotify_followers_daily,Q1_2026,net_change,3686.0,162316.0,166002.0,90
Ajebutter22,Spotify_followers_daily,Q2_2025,net_change,727.0,155501.0,156228.0,182
Ajebutter22,Spotify_followers_daily,Q3_2025,net_change,2672.0,156228.0,158900.0,184
Ajebutter22,Spotify_followers_daily,Q4_2025,net_change,3355.0,158941.0,162296.0,184
Ajebutter22,Spotify_monthly_listeners_daily,Q1_2025,net_change,-11546.0,199625.0,188079.0,180
Ajebutter22,Spotify_monthly_listeners_daily,Q1_2026,net_change,-27172.0,205812.0,178640.0,90
Ajebutter22,Spotify_monthly_listeners_daily,Q2_2025,net_change,13147.0,188286.0,201433.0,182
Ajebutter22,Spotify_monthly_listeners_daily,Q3_2025,net_change,20051.0,201433.0,221484.0,184
Ajebutter22,Spotify_monthly_listeners_daily,Q4_2025,net_change,-14719.0,221793.0,207074.0,184
Ajebutter22,Spotify_popularity_daily,Q1_2025,last_value,40.0,42.0,40.0,81
Ajebutter22,Spotify_popularity_daily,Q1_2026,last_value,38.0,42.0,38.0,68
Ajebutter22,Spotify_popularity_daily,Q2_2025,last_value,41.0,40.0,41.0,49
Ajebutter22,Spotify_popularity_daily,Q3_2025,last_value,42.0,42.0,42.0,27
Ajebutter22,Spotify_popularity_daily,Q4_2025,last_value,42.0,42.0,42.0,78
Ajebutter22,YouTube_channel_views_daily,Q1_2025,sum,2077804806.0,22877818.0,23285880.0,90
Ajebutter22,YouTube_channel_views_daily,Q1_2026,sum,2234353708.0,24570728.0,24961436.0,90
Ajebutter22,YouTube_channel_views_daily,Q2_2025,sum,2134910460.0,23289734.0,23621022.0,91
Ajebutter22,YouTube_channel_views_daily,Q3_2025,sum,2188353100.0,23624352.0,23964672.0,92
Ajebutter22,YouTube_channel_views_daily,Q4_2025,sum,2222706818.0,23968732.0,24552840.0,92
Ajebutter22,YouTube_subscribers_daily,Q1_2025,net_change,180.0,50033.0,50213.0,180
Ajebutter22,YouTube_subscribers_daily,Q1_2026,net_change,47.0,50653.0,50700.0,90
Ajebutter22,YouTube_subscribers_daily,Q2_2025,net_change,187.0,50214.0,50401.0,182
Ajebutter22,YouTube_subscribers_daily,Q3_2025,net_change,139.0,50403.0,50542.0,184
Ajebutter22,YouTube_subscribers_daily,Q4_2025,net_change,109.0,50543.0,50652.0,184
Amaarae,Bandsintown_followers_daily,Q1_2025,net_change,3983.0,30200.0,34183.0,174
Amaarae,Bandsintown_followers_daily,Q2_2025,net_change,5646.0,34382.0,40028.0,56
Amaarae,Bandsintown_followers_daily,Q3_2025,net_change,6769.0,40372.0,47141.0,50
Amaarae,Bandsintown_followers_daily,Q4_2025,net_change,3707.0,47734.0,51441.0,26
Amaarae,Deezer_fans_daily,Q1_2025,net_change,1250.0,29562.0,30812.0,90
Amaarae,Deezer_fans_daily,Q1_2026,net_change,1547.0,35849.0,37396.0,90
Amaarae,Deezer_fans_daily,Q2_2025,net_change,891.0,30821.0,31712.0,89
Amaarae,Deezer_fans_daily,Q3_2025,net_change,2029.0,31734.0,33763.0,92
Amaarae,Deezer_fans_daily,Q4_2025,net_change,2059.0,33778.0,35837.0,92
Amaarae,Facebook_followers_daily,Q1_2025,net_change,13865.0,31173.0,45038.0,56
Amaarae,Facebook_followers_daily,Q1_2026,net_change,0.0,71000.0,71000.0,86
Amaarae,Facebook_followers_daily,Q2_2025,net_change,20856.0,45144.0,66000.0,76
Amaarae,Facebook_followers_daily,Q3_2025,net_change,4000.0,66000.0,70000.0,60
Amaarae,Facebook_followers_daily,Q4_2025,net_change,1000.0,70000.0,71000.0,85
Amaarae,Facebook_likes_daily,Q1_2025,net_change,1660.0,13136.0,14796.0,56
Amaarae,Facebook_likes_daily,Q1_2026,net_change,71114.0,0.0,71114.0,86
Amaarae,Facebook_likes_daily,Q2_2025,net_change,2677.0,14815.0,17492.0,76
Amaarae,Facebook_likes_daily,Q3_2025,net_change,-17492.0,17492.0,0.0,60
Amaarae,Facebook_likes_daily,Q4_2025,net_change,0.0,0.0,0.0,85
Amaarae,Facebook_talks_daily,Q1_2025,sum,211669.0,260.0,5705.0,56
Amaarae,Facebook_talks_daily,Q1_2026,sum,162026.0,192.0,49.0,86
